account_name,contact_email,created_date,Lead Source,lead_source,Opportunity Amount,opportunity_amount,Is Active,is_active,SFDC ID,sfdc_id,Annual Revenue,annual_revenue,Last Activity,Custom Field,Region,Unnamed: 0,Unnamed: 21,Random Notes,Deal Score,Engagement Level,Num Calls,Time on Page (sec),City,State,Country
Acme Corp,contact@acme.com,2020-01-01,Phone Inquiry,Trade Show,1000,,,0,abc123,001B000002,,1000000.0,,"{""type"": ""A"", ""value"": 100}",United States,0,,,50.0,,,141,Chicago,N.Y.,
Globex,help@globex.com,2022-12-01,Partner,Social Media,,,False,,,BAD_ID,"1,000,000",1000000.0,42,,United States,1,,,,0.0636085280362646,31.0,278,,CA,
Globex,help@globex.com,,Partner,Email Campaign,50000,,active,True,001A000001,12345,5M,999999.0,2024-05-05,"{""type"": null}",North America,2,,,,0.2173328901051947,38.0,271,Chicago,,United States
Acme Corp,contact@acme.com,,Phone Inquiry,Social Media,,Fifty Thousand,,0,,BAD_ID,1000000,999999.0,2024-09-13 19:37:11.167657,"{""type"": ""A"", ""value"": 100}",US,3,,,100.0,,32.0,318,,,United States
Umbrella,,2024-03-26,Web,,,Fifty Thousand,,0,abc123,001B000002,1000000.00,,2024-05-05,,North America,4,,,100.0,0.5375777697761069,,399,San Francisco,N.Y.,United States
Globex,help@globex.com,2024-04-03,,,50000,0,,True,001A000001,001B000002,,999999.0,42,"{""type"": ""A"", ""value"": 100}",United States,5,,,,0.7660733285745563,23.0,383,Chicago,Illinois,us
Soylent,,2025-07-17,Partner,Referral,Ten Thousand,,no,False,001A000001,001C000003,Not Available,,2025-01-28 19:37:11.167664,"{""type"": ""B"", ""value"": 200}",US,6,,,100.0,,3.0,155,,Illinois,us
Soylent,,2023-12-17,Phone Inquiry,,1000,25000,active,True,,,,,Called client,"{""type"": ""A"", ""value"": 100}",N.A.,7,,See notes,10.0,0.9034173098115204,37.0,248,New York,Illinois,USA
Acme Corp,contact@acme.com,2022-12-01,Phone Inquiry,Trade Show,1000,0,True,False,XYZ-00001,001B000002,2.5M,1000000.0,2025-01-23 19:37:11.167671,,,8,,,50.0,0.5413931977192316,,419,New York,IL,United States
Acme Corp,contact@acme.com,,Phone Inquiry,Email Campaign,50000,Fifty Thousand,False,False,,001C000003,"$5,000,000",1000000.0,,,North America,9,,See notes,,,10.0,108,New York,NY,us
Umbrella,,2024-06-03,Phone Inquiry,Trade Show,,25000,active,True,001A000001,BAD_ID,2500000,,,"{""type"": null}",,10,,See notes,75.0,0.0309001072711559,49.0,182,San Francisco,Illinois,United States
Wonka,,2025-07-08,,Trade Show,,Fifty Thousand,active,1,,BAD_ID,5000000,1000000.0,2024-05-05,"{""type"": null}",,11,,See notes,100.0,0.1543360464952931,13.0,194,chicago,California,us
Globex,help@globex.com,2022-12-01,,,1000,25000,no,1,abc123,BAD_ID,1M,1000000.0,Called client,"{""type"": ""B"", ""value"": 200}",,12,,,75.0,,,279,,Illinois,U.S.
Soylent,,2020-01-01,Web,Trade Show,50000,25000,True,1,,001B000002,1000000,999999.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",US,13,,Valid,100.0,0.7853081147314578,26.0,37,,NY,
Soylent,,2020-01-01,Partner,,,Fifty Thousand,False,0,abc123,,1M,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,14,,See notes,100.0,0.274271385331132,17.0,350,nyc,NY,
Globex,help@globex.com,2023-01-26,Partner,Social Media,,Fifty Thousand,False,1,abc123,12345,100000,1000000.0,42,,,15,,,10.0,,21.0,105,Chicago,California,us
