account_name,contact_email,created_date,lead_source,opportunity_amount,is_active,sfdc_id,annual_revenue,Deal Score,Engagement Level,Num Calls,last_activity,custom_field,region,notes_flag
Acme Corp,contact@acme.com,2020-01-01,Trade Show,1000.0,False,001B000002,1000000.0,50.0,,,,"{""type"": ""A"", ""value"": 100}",North America,
Globex,help@globex.com,2022-12-01,Social Media,,False,,1000000.0,,0.0636085280362646,31.0,,,North America,
Globex,help@globex.com,,Email Campaign,50000.0,True,001A000001,5000000.0,,0.2173328901051947,38.0,2024-05-05,,North America,
Acme Corp,contact@acme.com,,Social Media,50000.0,False,,1000000.0,100.0,,32.0,2024-09-13,"{""type"": ""A"", ""value"": 100}",North America,
Umbrella,,2024-03-26,Web,50000.0,False,001B000002,1000000.0,100.0,0.5375777697761069,,2024-05-05,,North America,
Globex,help@globex.com,2024-04-03,,50000.0,True,001A000001,999999.0,,0.7660733285745563,23.0,,"{""type"": ""A"", ""value"": 100}",North America,
Soylent,,2025-07-17,Referral,10000.0,False,001A000001,,100.0,,3.0,2025-01-28,"{""type"": ""B"", ""value"": 200}",North America,
Soylent,,2023-12-17,Phone Inquiry,1000.0,True,,,10.0,0.9034173098115204,37.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag
Acme Corp,contact@acme.com,2022-12-01,Trade Show,1000.0,False,001B000002,2500000.0,50.0,0.5413931977192316,,2025-01-23,,,
Acme Corp,contact@acme.com,,Email Campaign,50000.0,False,001C000003,5000000.0,,,10.0,,,North America,Notes_Flag
Umbrella,,2024-06-03,Trade Show,25000.0,True,001A000001,2500000.0,75.0,0.0309001072711559,49.0,,,,Notes_Flag
Wonka,,2025-07-08,Trade Show,50000.0,True,,5000000.0,100.0,0.1543360464952931,13.0,2024-05-05,,,Notes_Flag
Globex,help@globex.com,2022-12-01,,1000.0,True,,1000000.0,75.0,,,,"{""type"": ""B"", ""value"": 200}",,
Soylent,,2020-01-01,Trade Show,50000.0,True,001B000002,1000000.0,100.0,0.7853081147314578,26.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag
Soylent,,2020-01-01,Partner,50000.0,False,,1000000.0,100.0,0.274271385331132,17.0,,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag
Globex,help@globex.com,2023-01-26,Social Media,50000.0,True,,100000.0,10.0,,21.0,,,,
Acme Corp,contact@acme.com,2022-12-01,Referral,50000.0,True,001C000003,1000000.0,,0.8991410997621325,,,"{""type"": ""B"", ""value"": 200}",,Notes_Flag
Globex,help@globex.com,,Web,25000.0,True,,1000000.0,100.0,0.0606354866542068,9.0,,,North America,Notes_Flag
Soylent,,2020-01-01,Social Media,10000.0,,001A000001,5000000.0,,,41.0,2024-08-22,,North America,Notes_Flag
Globex,help@globex.com,,Email Campaign,,False,001A000001,5000000.0,100.0,0.2804927020812819,44.0,,,North America,
Umbrella,,2020-01-01,Social Media,1000.0,False,,1000000.0,100.0,0.095621622484592,,,"{""type"": ""B"", ""value"": 200}",North America,
Umbrella,,2024-08-12,Referral,10000.0,True,,1000000.0,75.0,,41.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag
Wonka,,2022-12-01,Trade Show,50000.0,False,001B000002,2500000.0,75.0,0.780823237111309,37.0,,,North America,Notes_Flag
Globex,help@globex.com,2022-12-01,Email Campaign,50000.0,True,001B000002,1000000.0,75.0,0.2903633147599022,1.0,,,North America,Notes_Flag
Soylent,,2020-01-01,Email Campaign,,True,,,10.0,,,2024-12-18,,North America,
Globex,help@globex.com,2024-12-27,Social Media,0.0,,,1000000.0,50.0,0.8940609049208631,8.0,,,North America,Notes_Flag
Acme Corp,contact@acme.com,2022-12-01,Social Media,10000.0,True,,1000000.0,,0.0530025975252362,43.0,,,North America,Notes_Flag
Soylent,,2023-05-04,Email Campaign,,True,,999999.0,,,28.0,,,,
Initech,,,Web,50000.0,False,001C000003,2500000.0,100.0,0.9407276138973484,,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag
Soylent,,,Email Campaign,1000.0,True,001A000001,5000000.0,100.0,0.9582527093275404,19.0,,,,
Globex,help@globex.com,2022-12-01,Web,0.0,True,001A000001,2500000.0,75.0,,3.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag
Globex,help@globex.com,,Trade Show,,False,,1000000.0,100.0,0.0635508382674759,10.0,,,North America,
Soylent,,2024-02-20,Social Media,,False,001B000002,1000000.0,10.0,0.3863532626759115,,,,North America,
Globex,help@globex.com,2022-12-01,Trade Show,0.0,False,,999999.0,100.0,,37.0,,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag
Soylent,,2022-12-01,Email Campaign,10000.0,False,,5000000.0,50.0,0.9556450791936716,41.0,,"{""type"": ""A"", ""value"": 100}",,Notes_Flag
Globex,help@globex.com,2025-06-13,Referral,10000.0,True,001A000001,1000000.0,100.0,0.4717432607899557,32.0,2025-03-08,,,Notes_Flag
Acme Corp,contact@acme.com,2020-01-01,Social Media,10000.0,True,,5000000.0,,,,,,,Notes_Flag
Umbrella,,2024-08-15,Referral,10000.0,False,,1000000.0,10.0,0.6700288593287657,23.0,2024-08-08,,North America,
Acme Corp,contact@acme.com,2022-12-01,Email Campaign,50000.0,True,001A000001,2500000.0,,0.2340663823886296,24.0,,,North America,
Globex,help@globex.com,,,50000.0,True,,1000000.0,75.0,,16.0,,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag
Soylent,,2022-12-01,Referral,25000.0,True,,2500000.0,10.0,0.7763934874579811,,2024-05-05,,North America,
Acme Corp,contact@acme.com,2025-07-08,Email Campaign,25000.0,True,001A000001,1000000.0,75.0,0.6687049635174467,1.0,2025-06-30,"{""type"": ""B"", ""value"": 200}",,
Soylent,,2020-01-01,Social Media,1000.0,True,,1000000.0,75.0,,48.0,,,North America,Notes_Flag
Soylent,,2020-01-01,Trade Show,10000.0,True,001A000001,,10.0,0.4628525173381721,45.0,2024-09-08,,North America,
Acme Corp,contact@acme.com,2023-06-06,Email Campaign,10000.0,True,,1000000.0,100.0,0.4949605282666564,,,,North America,
Globex,help@globex.com,,Social Media,50000.0,True,001A000001,999999.0,10.0,,5.0,,,,
Globex,help@globex.com,,,10000.0,False,,2500000.0,75.0,0.6484756106425171,20.0,,"{""type"": ""A"", ""value"": 100}",North America,
Globex,help@globex.com,,Web,1000.0,True,,100000.0,50.0,0.2813745885736209,19.0,,"{""type"": ""A"", ""value"": 100}",,Notes_Flag
Globex,help@globex.com,2020-01-01,Social Media,10000.0,False,001A000001,5000000.0,25.0,,,2024-05-05,,North America,
Soylent,,2022-12-01,Trade Show,,True,,999999.0,50.0,0.6822469688621764,50.0,,,,
