account_name,contact_email,created_date,lead_source,opportunity_amount,is_active,sfdc_id,annual_revenue,last_activity,custom_field,region,notes_flag,deal_score,engagement_level,num_calls,page_duration,city,state,country
Acme Corp,contact@acme.com,2020-01-01,Trade Show,1000.0,False,001B000002,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,,0.5,,,141,New York City,New York,United States
Globex,help@globex.com,2022-12-01,Social Media,,False,,1000000.0,,,North America,,,0.0636,31.0,278,San Francisco,California,United States
Globex,help@globex.com,,Email Campaign,50000.0,True,001A000001,5000000.0,2024-05-05,,North America,,,0.2173,38.0,271,Chicago,Illinois,United States
Acme Corp,contact@acme.com,,Social Media,50000.0,False,,1000000.0,2024-09-13,"{""type"": ""A"", ""value"": 100}",North America,,1.0,,32.0,318,,,United States
Umbrella,,2024-03-26,Web,50000.0,False,001B000002,1000000.0,2024-05-05,,North America,,1.0,0.5376,,399,New York City,New York,United States
Globex,help@globex.com,2024-04-03,,50000.0,True,001A000001,999999.0,,"{""type"": ""A"", ""value"": 100}",North America,,,0.7661,23.0,383,Chicago,Illinois,United States
Soylent,,2025-07-17,Referral,10000.0,False,001A000001,,2025-01-28,"{""type"": ""B"", ""value"": 200}",North America,,1.0,,3.0,155,Chicago,Illinois,United States
Soylent,,2023-12-17,Phone Inquiry,1000.0,True,,,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.1,0.9034,37.0,248,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2022-12-01,Trade Show,1000.0,False,001B000002,2500000.0,2025-01-23,,,,0.5,0.5414,,419,Chicago,Illinois,United States
Acme Corp,contact@acme.com,,Email Campaign,50000.0,False,001C000003,5000000.0,,,North America,Notes_Flag,,,10.0,108,New York City,New York,United States
Umbrella,,2024-06-03,Trade Show,25000.0,True,001A000001,2500000.0,,,,Notes_Flag,0.75,0.0309,49.0,182,Chicago,Illinois,United States
Wonka,,2025-07-08,Trade Show,50000.0,True,,5000000.0,2024-05-05,,,Notes_Flag,1.0,0.1543,13.0,194,San Francisco,California,United States
