Account Name,account_name,AccountName,Contact Email,contact_email,Created Date,created_date,Lead Source,lead_source,Opportunity Amount,opportunity_amount,Is Active,is_active,SFDC ID,sfdc_id,Annual Revenue,annual_revenue,Last Activity,Custom Field,Region,Unnamed: 0,,Random Notes,Deal Score,Engagement Level,Num Calls,Time on Page (sec),City,State,Country
Acme Corp,Acme Corp,Globex,,help@globex.com,01-01-2020,,Phone Inquiry,Trade Show,1000,,,0,abc123,001B000002,,1000000,,"{""type"": ""A"", ""value"": 100}",United States,0,,N/A,50.0,,,141,Chicago,N.Y.,
,,Globex,noemail,,not_a_date,2022/12/01,Partner,Social Media,,,False,,,BAD_ID,"1,000,000",1000000,42,N/A,United States,1,,N/A,,0.0636085280362646,31.0,278,,CA,
Initech,Globex,Initech,noemail,user@,not_a_date,NaT,Partner,Email Campaign,50000,,active,True,001A000001,12345,5M,999999,2024-05-05,"{""type"": null}",North America,2,,,,0.21733289010519474,38.0,271,Chicago,,United States
,Acme Corp,Initech,invalid@,help@globex.com,not_a_date,NaT,Phone Inquiry,Social Media,,Fifty Thousand,,0,,BAD_ID,1000000,999999,2024-09-13 19:37:11.167657,"{""type"": ""A"", ""value"": 100}",US,3,,,100.0,,32.0,318,,,United States
Initech,Umbrella,,,,not_a_date,2024-03-26 19:35:42.523132,Web,,,Fifty Thousand,,0,abc123,001B000002,1000000.00,,2024-05-05,N/A,North America,4,,,100.0,0.5375777697761069,,399,San Francisco,N.Y.,United States
Globex,Globex,,noemail,help@globex.com,not_a_date,2024-04-03 19:35:42.523135,,,50000,0,,True,001A000001,001B000002,,999999,42,"{""type"": ""A"", ""value"": 100}",United States,5,,N/A,,0.7660733285745563,23.0,383,Chicago,Illinois,us
,Soylent,Wonka,noemail,,2025-07-17 19:35:42.521776,NaT,Partner,Referral,Ten Thousand,N/A,no,False,001A000001,001C000003,Not Available,,2025-01-28 19:37:11.167664,"{""type"": ""B"", ""value"": 200}",US,6,,N/A,100.0,,3.0,155,,Illinois,us
Initech,Soylent,Globex,contact@acme.com,user@,not_a_date,2023-12-17 19:35:42.523142,Phone Inquiry,,1000,25000,active,True,,,,,Called client,"{""type"": ""A"", ""value"": 100}",N.A.,7,,See notes,10.0,0.9034173098115205,37.0,248,New York,Illinois,USA
Acme Corp,Acme Corp,Initech,invalid@,user@,,2022/12/01,Phone Inquiry,Trade Show,1000,0,True,False,XYZ-00001,001B000002,2.5M,1000000,2025-01-23 19:37:11.167671,,NA,8,,,50.0,0.5413931977192316,,419,New York,IL,United States
,Acme Corp,,contact@acme.com,user@,,,Phone Inquiry,Email Campaign,50000,Fifty Thousand,False,False,,001C000003,"$5,000,000",1000000,,N/A,North America,9,,See notes,,,10.0,108,New York,NY,us
Initech,Umbrella,,,user@,2025-07-13 19:35:42.521788,2024-06-03 19:35:42.523154,Phone Inquiry,Trade Show,,25000,active,True,001A000001,BAD_ID,2500000,,,"{""type"": null}",,10,,See notes,75.0,0.030900107271155997,49.0,182,San Francisco,Illinois,United States
Initech,,Wonka,noemail,,2025-07-08 19:35:42.521790,,,Trade Show,,Fifty Thousand,active,1,,BAD_ID,5000000,1000000,2024-05-05,"{""type"": null}",NA,11,,See notes,100.0,0.1543360464952931,13.0,194,chicago,California,us
,Globex,,noemail,missing.com,2024-10-15 19:35:42.521792,2022/12/01,,,1000,25000,no,1,abc123,BAD_ID,1M,1000000,Called client,"{""type"": ""B"", ""value"": 200}",,12,,N/A,75.0,,,279,,Illinois,U.S.
Acme Corp,Soylent,,invalid@,,01-01-2020,NaT,Web,Trade Show,50000,25000,True,1,,001B000002,1000000,999999,2024-05-05,"{""type"": ""A"", ""value"": 100}",US,13,,Valid,100.0,0.7853081147314578,26.0,37,,NY,
Acme Corp,Soylent,Globex,,help@globex.com,01-01-2020,,Partner,,,Fifty Thousand,False,0,abc123,,1M,1000000,,"{""type"": ""B"", ""value"": 200}",North America,14,,See notes,100.0,0.27427138533113204,17.0,350,nyc,NY,
,,,,help@globex.com,01-01-2020,2023-01-26 19:35:42.523171,Partner,Social Media,,Fifty Thousand,False,1,abc123,12345,100000,1000000,42,,NA,15,,,10.0,,21.0,105,Chicago,California,us
Initech,Acme Corp,,contact@acme.com,missing.com,01-01-2020,2022/12/01,Partner,Referral,50000,0,yes,True,abc123,001C000003,1000K,,Called client,"{""type"": ""B"", ""value"": 200}",,16,,See notes,,0.8991410997621325,,331,chicago,CA,
,,Globex,,missing.com,not_a_date,,Web,,,25000,no,True,abc123,,one million,1000000,,N/A,N.A.,17,,See notes,100.0,0.060635486654206816,9.0,296,nyc,CA,us
,Soylent,Wonka,,missing.com,01-01-2020,,,Social Media,Ten Thousand,N/A,,,001A000001,BAD_ID,5000000,999999,2024-08-22 19:37:11.167705,"{""type"": null}",N.A.,18,,Valid,,,41.0,169,,California,U.S.
,,,contact@acme.com,help@globex.com,not_a_date,,Phone Inquiry,Email Campaign,,N/A,False,False,001A000001,001B000002,5000000,1000000,42,N/A,N.A.,19,,N/A,100.0,0.28049270208128196,44.0,353,nyc,CA,U.S.
Initech,Umbrella,Initech,noemail,help@globex.com,01-01-2020,NaT,,Social Media,1000,,yes,0,abc123,BAD_ID,"$1,000,000",1000000,42,"{""type"": ""B"", ""value"": 200}",N.A.,20,,,100.0,0.09562162248459205,,360,New York,,U.S.
Acme Corp,Umbrella,Initech,invalid@,missing.com,,2024-08-12 19:35:42.523190,Partner,Referral,Ten Thousand,,True,,XYZ-00001,BAD_ID,1000000.00,,42,"{""type"": ""A"", ""value"": 100}",N.A.,21,,See notes,75.0,,41.0,472,,,USA
Initech,,Wonka,noemail,user@,,2022/12/01,,Trade Show,50000,N/A,no,False,,001B000002,2.5M,1000000,42,N/A,United States,22,,See notes,75.0,0.780823237111309,37.0,73,San Francisco,N.Y.,United States
Initech,,Globex,noemail,,,2022/12/01,,Email Campaign,50000,N/A,active,1,XYZ-00001,001B000002,1M,1000000,42,"{""type"": null}",N.A.,23,,See notes,75.0,0.2903633147599022,1.0,113,New York,NY,us
Globex,Soylent,,invalid@,,01-01-2020,,Partner,Email Campaign,,,active,1,,BAD_ID,Not Available,,2024-12-18 19:37:11.167726,"{""type"": null}",United States,24,,,10.0,,,21,nyc,IL,us
,,Globex,contact@acme.com,help@globex.com,01-01-2020,2024-12-27 19:35:42.523205,Partner,Social Media,,0,,,XYZ-00001,,,1000000,42,N/A,US,25,,See notes,50.0,0.8940609049208631,8.0,50,,IL,us
